"año_expo","valor","var_porc_indice"
2012,364236420,0E-20
2013,422065295,15.8767415405631300
2014,379301844,4.13616628452476004500
2015,283125858,-22.26865781296664402800
2016,270103536,-25.84389666469926318700
2017,256971634,-29.44922037175744259700
2018,286336811,-21.38710044426639159300
2019,231879994,-36.33805372894890631700
2020,245056496,-32.72048522769908621400
2021,216157000,-40.65475385465297512000
