"periodo_mens","expo_valor","expo_anual","porc_del_total"
"2021-03-01",42638000,216157000,19.7254773150996729
"2021-04-01",31647000,216157000,14.6407472346488895
"2021-05-01",28642000,216157000,13.2505539954755109
"2021-06-01",16377000,216157000,7.5764374968194414
"2021-07-01",11344000,216157000,5.2480373062172402
"2021-08-01",9582000,216157000,4.4328890574906202
"2021-09-01",7786000,216157000,3.6020115008998089
"2021-10-01",7043000,216157000,3.2582798613970401
"2021-11-01",5745000,216157000,2.6577904023464426
"2021-12-01",4879000,216157000,2.2571556785114523
